title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
Sách: Hài Hước Một Chút Thế Giới Sẽ Khác Đi (Tái Bản),Lưu Chấn Hồng,80000,63200,1101.0,Sách tư duy - Kỹ năng sống,142,4.8,228.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/39/89/95/8cc047c666759036e66750ef8b7bd82a.jpg
Huấn Luyện Cảm Xúc Để Con Trẻ Phát Triển Toàn Diện,Christina Sungaie Choi,198000,118000,1081.0,Sách tư duy - Kỹ năng sống,88,5.0,528.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/94/af/47/bfcfdea6e5d628f7f0a6d2b5620db3da.jpg
Cứ Làm Đi!,Austin Kleon,109000,70850,818.0,Sách tư duy - Kỹ năng sống,100,4.6,240.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/cd/02/31/eba981af66290c9bed430295130dca10.jpg
Dưới Ánh Sao Thu - Tiểu Thuyết,Knut Hamsun,65000,57200,19.0,Truyện dài,7,5.0,192.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/fb/57/76/ff5eae42def46adcbd0a02a9c8dcc0d5.jpg
Hành Lý Hư Vô,Nguyễn Ngọc Tư,95000,60000,8824.0,Truyện ngắn - Tản văn - Tạp Văn,457,4.8,164.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/86/c0/41/bc065bcbe15e7cc71d2757cca855ef76.jpg
365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Thông Minh IQ (Tái Bản),Ngọc Linh,78000,56600,1716.0,Truyện kể cho bé,224,4.7,244.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/15/02/dc/9597556f0006bf88f6f53edc5dac2f96.jpg
Sách Chữa Lành Nỗi Đau,Louise L.Hay,108000,78900,4355.0,Sách tư duy - Kỹ năng sống,332,4.8,276.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/92/21/d4/179b6e3277b1b883f5ce4132ae7b35dc.png
Lòng Tốt Của Bạn Cần Thêm Đôi Phần Sắc Sảo,Mộ Nhan Ca,108000,75587,18352.0,Tiểu Thuyết,629,4.6,264.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/c9/12/93/4e6409940c80e8e4e0b5ffcf23625275.png
Tuần Của Bé - Bé Tốt Bụng,Minh Tâm,23000,16100,30.0,Truyện kể cho bé,1,5.0,24.0,Nhà Xuất Bản Mỹ Thuật,https://salt.tikicdn.com/media/catalog/product/b/i/bia_be-tot-bung.u5131.d20170613.t112834.796959.jpg
Những thủ lĩnh trên cát,Jorge Amado,179000,138000,8.0,Truyện dài,0,0.0,388.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/92/34/f1/20d39bbc7c3ac0c50eb06ef86e3624b7.jpg
Phân tích dữ liệu trong Marketing,Nhiều tác giả,590000,383500,20.0,Sách tư duy - Kỹ năng sống,2,5.0,584.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/3e/9a/3e/d89ab7f865b424bf7e3deac32c6f48aa.jpg
Hẹn Nhau Tháng Tám,Gabriel García Márquez,139000,97300,28.0,Tiểu Thuyết,3,4.7,110.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/73/24/b7/7ec2e21d71213157ac7e0620a9446ab3.jpg
Gã hề Chicot,Harriet Beecher Stowe,320000,209000,177.0,Tiểu Thuyết,23,5.0,676.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/98/de/67/7d3dc5cc3a646732102ee111b9fc6045.jpg
Sự Lụi Tàn Của Đồng Tiền,James Rickards,188000,128000,41.0,"Sách quản trị, lãnh đạo",4,4.0,576.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/ff/17/9b/3593786d75ddf4960d26ad9f770a2301.png
Khéo Khôn Với Tiền – Tránh Những Ưu Phiền,Lê Thị Thúy Sen,150000,108000,392.0,Sách tư duy - Kỹ năng sống,27,4.7,284.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/00/61/98/de369267da1168a444477ce497fa63f5.jpg
"Sách - Phù Vân - Truyện, Văn Học Nhật Bản Lấy Bối Cảnh Đà Lạt Việt Nam - Hayashi Fumiko - Phúc Minh Books",Hayashi Fumiko,49000,49000,38.0,Tác phẩm kinh điển,4,5.0,352.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/d5/2a/7b/abc2ab1645129b60cc1bdf2a9c42e5d0.jpg
Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế,John Perkins,245000,177000,4869.0,Bài học kinh doanh,521,4.7,473.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/ab/60/a4/baa6161d9f2532e6809e5eaac8be1958.jpg
Who? Chuyện Kể Về Danh Nhân Thế Giới: Steve Jobs,Kim Wonsik,60000,43199,3032.0,Kiến thức - Bách khoa,270,5.0,172.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/97/f7/42/78879006f86ace028cca65d42ed765aa.jpg
Thần Thoại Hy Lạp,Nguyễn Văn Khỏa,295000,188000,169.0,Tác phẩm kinh điển,20,4.8,716.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/5e/19/12/11f9cf38845f1444f30db2ce7e27df29.jpg
Bản đồ về dòng tiền: Hiểu và áp dụng sơ đồ kế toán trong doanh nghiệp và đời sống,Tetsuro Kondo,145000,105000,290.0,Sách tài chính,14,5.0,232.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/4b/57/78/b64a468e6159f40220bb2e9fa71ac417.jpg
Mãi mãi tuổi hai mươi - Phiên bản đặc biệt nhân dịp Đại Hội XII,Nguyễn Văn Thạc,154000,154000,188.0,Tiểu sử - Hồi ký,25,5.0,340.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/b6/b9/67/d7a2478ee877f7dfa78ed282a9bef36c.jpg
Bí Quyết Đọc Sách 2.000 Từ/Phút,Aloha Tuấn,271700,271700,579.0,Sách kỹ năng làm việc,59,5.0,240.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/6f/b2/22/a4641e7018cea7d1f48935785bd93d91.png
Điểm Bùng Phát ( Tái Bản),Malcolm Gladwell,179000,116350,628.0,Sách tư duy - Kỹ năng sống,43,4.6,404.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/fe/cc/b2/cdea7eb99dda2c00e57f8b0e6a575b0c.png
Combo 2 Cuốn Tớ Học Lập Trình: Tớ Học Lập Trình - Làm Quen Với Python + Tớ Học Lập Trình - Làm Quen Với Lập Trình Scratch,Nhiều tác giả,210000,170000,450.0,Kiến thức - Bách khoa,58,4.8,96.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/1b/fa/c1/c3115ee82bcc5001db442a0ad8581332.jpg
"Xé Vài Trang Thanh Xuân, Đổi Lấy Một Bản Thân Nỗ Lực",Văn Cát Nhi,108000,80000,562.0,Sách tư duy - Kỹ năng sống,101,5.0,232.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/7e/84/db/d5dc6c2010aafde121abdcf6348de7a9.jpg
Và Rồi Núi Vọng,Khaled Hosseini,148000,103204,1663.0,Tiểu Thuyết,271,5.0,512.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/dc/3b/1e/94d26ca080f85b32b8e71bd45a7bac98.png
Rừng Nauy (Tái Bản),Haruki Murakami,180000,151000,6812.0,Tiểu Thuyết,1123,5.0,556.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/58/be/33/5c04f125903d40f1d619af5be3d716b8.png
Những Truyện Hay Viết Cho Thiếu Nhi - Tô Hoài (Tái Bản 2019),Tô Hoài,80000,52000,3594.0,Truyện kể cho bé,309,4.8,304.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/31/09/fb/2ada64bc32600333400d978f4bfe5b00.jpg
Tâm Lý Học Thành Công (Tái Bản),Carol S. Dweck,175650,166868,540.0,Sách tư duy - Kỹ năng sống,47,4.7,480.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/41/c8/23/86289a16b242a20ca172c0d9b9c7b978.jpg
