title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,127000,117180,8629.0,Sách kỹ năng mềm,419,4.8,450.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/00/9a/66/34d3abd4b5f39c62d1bf49f1f4c030bd.jpg
Tiếng gọi chân trời - Nguyễn Ngọc Tư,Nguyễn Ngọc Tư,95000,61750,316.0,Truyện ngắn - Tản văn - Tạp Văn,8,5.0,152.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/c3/40/f9/0a96a37e47f2c6757a2910ecb044827d.jpg
Trò Chơi Quyền Lực,Ngô Di Lân,189000,120960,200.0,Lịch Sử Thế Giới,15,5.0,372.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/84/79/e3/57065e8f5b066953b7b837d86c14bdae.jpg
"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",Hirata Haruka,120000,99000,1146.0,Bài học kinh doanh,30,4.7,168.0,Nhà Xuất Bản Kinh Tế TPHCM,https://salt.tikicdn.com/ts/product/41/68/02/c5af2ce2e0df5463e71bda5e1947f925.jpg
Sống Sáng - Phan Việt - Sáng Books,Phan Việt,180000,180000,851.0,Sách tư duy - Kỹ năng sống,48,5.0,568.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/64/c6/f9/39a9492491f99a432ad7983bf238067b.png
Tại sao các quốc gia thất bại,Daron Acemoglu - James A. Robinson,310000,186000,349.0,Sách kinh tế học,22,4.8,616.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/b3/a1/02/984e03a02d1da9b334f5f9d29243a57f.png
Same As Ever: Quy Luật Bất Biến Về Bản Chất Con Người Và Tâm Lý Làm Giàu,Morgan Housel,219000,135780,337.0,Sách kỹ năng mềm,10,4.2,408.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/cd/65/67/c6fd347dbfaa745bf89f3046bbd2d3a8.png
Chat GPT Thực Chiến,Dịch Dương,169000,104780,2569.0,Sách kỹ năng làm việc,119,4.7,263.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/a1/61/c8/0ffd6d2fd86a19ea9b5f2048fc2d0e5d.png
Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,Tiffani Bova,195000,120900,2074.0,"Sách quản trị, lãnh đạo",59,4.8,358.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/8c/70/43/9bced865d7d70896f1de8b9558eda138.png
Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,139000,86180,30532.0,Sách tư duy - Kỹ năng sống,4824,4.8,204.0,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/9e/47/37/ab996b225e47a14fac8b0b771338b633.jpg
Con Đường Chẳng Mấy Ai Đi,M. Scott Peck,165000,109000,3128.0,Sách tư duy - Kỹ năng sống,173,5.0,344.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/7d/53/62/92a8071c9c82e7eda9b4a72d5e0f6efb.jpg
Tâm Lý Học Về Tiền,Morgan Housel,189000,117180,27184.0,Sách tài chính,3678,4.8,384.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/d8/79/d9/8c3f38ce32884e18b83d73260173b16c.jpg
MANIFEST – 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,Roxie Nafousi,89000,59630,2315.0,Sách tư duy - Kỹ năng sống,134,5.0,200.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/da/68/63/88e944e5d4292ecc636ca65447538f12.jpg
MBA bằng hình (Trọn gói hai năm kiến thức quản trị kinh doanh qua trực quan sinh động),Jason Barron,189000,132300,4551.0,Bài học kinh doanh,239,5.0,207.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/3e/25/3a/1e6bc9998b75b3345a4c38dd93bbbe16.jpg
Đúng Việc,Giản Tư Trung,125000,81250,16139.0,Sách tư duy - Kỹ năng sống,934,5.0,328.0,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/8c/a5/cd/b8de71b32a896c5e67d71795a2c752e0.jpg
Giải mã Hoóc-môn Dopamine,Anna Lembke,198000,128700,3433.0,Sách tư duy - Kỹ năng sống,225,5.0,348.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b7/8e/d3/2e03cb8ba92163d988f34c60d99543ec.jpg
Cuộc cách mạng Glucose,Jessie Inchauspé,158000,102000,1441.0,Sách Y Học Khác,75,5.0,372.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/fb/87/13/81f56e73cd847ff94cbeded0c3c19602.jpg
Vùng Đất Quỷ Tha Ma Bắt,Kevin Chen,168000,113773,2556.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,238,5.0,413.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/93/42/77/30e3d337229409b7d0c364d3ff1d5a49.png
Giải Trí Đến Chết,Neil Postman,179000,110085,1066.0,Sách tư duy - Kỹ năng sống,81,4.8,336.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/e3/dd/6d/9b7839b65b04ec49406ed3e021bd9216.jpg
Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,Từ Thính Phong,119000,79729,7814.0,Lĩnh vực khác,588,4.8,280.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/11/b9/cd/6908d07d93737fd12fd452f05e174a17.jpg
Người Đàn Ông Mang Tên Ove (Tái Bản 2022),Fredrik Backman,160000,109000,4539.0,Truyện ngắn - Tản văn - Tạp Văn,359,5.0,452.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f1/74/87/ecc312fe5ec4c3da46b26f7bdbba53dd.png
Bốn Thỏa Ước,Don Miguel Ruiz,130000,84500,3597.0,Sách kỹ năng mềm,220,5.0,190.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/69/94/e1/2197a9f2aefd4dbbc8b125726bbd3429.jpg
Nỗi buồn chiến tranh,Bảo Ninh,130000,89000,2837.0,Tác phẩm kinh điển,278,5.0,348.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/01/a8/10/b768720aa2579a55e05d3b3aa86eff82.png
Nếu Biết Trăm Năm Là Hữu Hạn,Phạm Lữ Ân,159000,123000,1591.0,Truyện ngắn - Tản văn - Tạp Văn,237,5.0,268.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/3a/36/15/fcd5d7c1e963e66f686061393793d9b8.jpg
Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),James Clear,189000,139000,10542.0,Sách tư duy - Kỹ năng sống,811,4.8,385.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/38/ba/1f/f729a71fe47873cde5874dad5646a5f9.jpg
Flow - Dòng Chảy,Mihaly Csikszentmihalyi,228000,171000,8201.0,Sách kỹ năng mềm,735,5.0,556.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/2e/34/5c/f6ed74d4397f9ed4632d66621fdff93d.jpg
"Deep Work - Làm Ra Làm, Chơi Ra Chơi (Tái Bản)",Cal Newport,159000,106000,2754.0,Sách tư duy - Kỹ năng sống,267,4.7,352.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/25/64/8e/4992e5d750daed4720f15de18f05f8f7.jpg
Được Học (Tái Bản),Tara Westover,182000,125580,2270.0,Sách giáo dục,289,5.0,446.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/e1/86/99/55efc6cd57d8781fd15690a901cdac79.png
Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,72962,75793.0,Tiểu Thuyết,13450,5.0,244.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/c8/84/aa/bec728a86ef1cf81f90708df8c694f5f.png
Trường Ca Achilles (Quà Tặng Kèm: 01 Bookmark + 01 Phụ Lục),Madeline Miller,156000,109200,3432.0,Tiểu Thuyết,722,5.0,444.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/f9/f4/cf/d91f1de2848f9a86ca865e66121e79af.jpg
D. Trump - Nghệ Thuật Đàm Phán (Tái bản 2020),Donald J.Trump & Tony Schwartz,109000,88200,451.0,"Sách quản trị, lãnh đạo",68,5.0,328.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f0/0c/86/60880b57aa8b4b2273d09627e1079a8c.jpg
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,188000,138000,53328.0,Sách tư duy - Kỹ năng sống,4196,4.8,488.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/15/a9/ef/59dba31fef66d933e82a8a1e9d4923ba.jpg
Kỹ thuật đặt câu lệnh cho ChatGPT,Neil Dagger,179000,110980,122.0,Sách kỹ năng làm việc,3,5.0,279.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/d2/a9/f5/d09778ba88097c3290c8279619d3ebf9.png
"Hành Lang Hẹp - Nhà Nước, Xã Hội Và Vận Mệnh Của Tự Do",Daron Acemoglu - James A. Robinson,397000,258050,291.0,"Sách quản trị, lãnh đạo",22,5.0,768.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/fe/22/b3/85a80d96f1b2d7180c6ae792ef1ad8cb.jpg
Tiệm sách của nàng (Nguyễn Nhật Ánh),Nguyễn Nhật Ánh,125000,80000,1021.0,Truyện dài,69,5.0,272.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f9/56/a0/9d3be2869a0b7d39996119046a9f629b.jpg
Đọc Vị Mọi Vấn Đề Của Trẻ - Giải Mã Mọi Vấn Đề Về Nuôi Con Nhỏ: Ăn - Ngủ - Kỷ Luật Hành Vi,Tracy Hogg,199000,146100,5456.0,Cẩm nang làm cha mẹ,581,5.0,512.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/38/47/e5/a1617a3f65659cc3ba9004c77d6e7892.png
Nâng Cao Tần Số Năng Lượng Cá Nhân,Kyle Gray,179000,109190,220.0,Sách tư duy - Kỹ năng sống,9,5.0,336.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/9d/c7/89/c54b1c4389775d3c2e45020c651ebbd9.png
Sưởi Ấm Mặt Trời: Tập 2 Của Cây Cam Ngọt,José Mauro de Vasconcelos,160000,96000,2185.0,Truyện dài,132,5.0,376.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/be/b3/b6/75d2e20bc71ae1e8eb0922fd266dbbf8.jpg
Lý Thuyết Trò Chơi,Trần Phách Hàm,179000,109190,9171.0,Sách tư duy - Kỹ năng sống,452,4.7,320.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/aa/43/76/f6c2532e1d8780c763efc27403ddc377.jpg
"Beartown - Thị trấn nhỏ, giấc mơ lớn",Fredrik Backman,210000,129000,1058.0,Truyện dài,90,5.0,604.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/c1/07/ff/f1b76f203c5367cd91293364ca2ceb81.jpg
Hai số phận (bìa cứng),Jeffrey Archer,235000,150000,2195.0,Tiểu Thuyết,287,5.0,768.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/b4/86/a5/ee188b6dd1326c0ee43738fb8f223a15.jpg
Chủ nghĩa khắc kỷ - phong cách sống bản lĩnh và bình thản (Tái Bản),William B.Irvine,149000,110000,2974.0,Triết Học,217,4.7,380.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/36/df/71/9f5619ffa5996e57958d9497e1635fe1.jpg
30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,Lý Thượng Long,135000,87750,1805.0,Sách tư duy - Kỹ năng sống,103,4.8,332.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/94/0c/26/2dcfd04d8eaacc82d08717a3aac04d2d.jpg
Khéo Ăn Nói Sẽ Có Được Thiên Hạ,Trác Nhã,130000,80600,3725.0,Sách kỹ năng mềm,134,4.8,404.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/63/d2/72/c472523a2f2b11352106a7347ef5bb50.jpg
Học Cách Học (Tái bản),Nhiều tác giả,159000,103350,393.0,Sách tư duy - Kỹ năng sống,27,5.0,280.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5b/af/cc/e5bcca22975c721dcfc65e0c56147a22.jpg
Nhà Lãnh Đạo Không Chức Danh,Robin Sharma,105000,65000,4251.0,"Sách quản trị, lãnh đạo",164,5.0,178.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/01/cd/67/8ab999499c2da32e5ceb00ed9163605c.png
Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Song Hong Bing,165000,112000,7176.0,Sách tài chính,789,5.0,532.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/43/04/19/465cf6415475d52aaa573250dab6aadc.jpg
Những Kẻ Âu Lo,Fredrik Backman,180000,115000,1193.0,Truyện dài,111,5.0,544.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/68/40/9f/a2c46a9c33d86a7ecde560f1e5e67bf7.png
Dinh Dưỡng Học Bị Thất Truyền - Dinh Dưỡng Đẩy Lùi Bệnh Tật,Vương Đào,178000,115000,4938.0,Sách Y Học Khác,360,5.0,456.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/80/0d/70/ee401529e00e448eb91f536e863c4e76.jpg
Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng,Kenji Shimizu,270000,177000,2476.0,Sách Học Tiếng Anh,291,5.0,608.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/c7/3b/3e/851033335389f4b9a2094427c55f9204.jpg
7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,Stephen R. Covey,250000,162500,8848.0,Sách tư duy - Kỹ năng sống,974,5.0,536.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/27/ab/bd/9911cd6301fdff2ae9eb29c8ff763da3.jpg
Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,Osho,168000,126000,14836.0,Sách kỹ năng mềm,2129,5.0,350.0,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,https://salt.tikicdn.com/ts/product/e5/eb/58/f80fe59063c07f22b4a450a73f23fc08.jpg
Thiền Sư Và Em Bé 5 Tuổi,Thích Nhất Hạnh,120000,78000,6626.0,Phật giáo,780,5.0,232.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/8c/3c/07/665ee3763a0d50d4b3bd1044241fde4b.jpg
Những Quy Luật Của Bản Chất Con Người,Robert Greene,300000,186000,7145.0,Sách tư duy - Kỹ năng sống,837,4.8,884.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/c9/7c/2e/af91d494531e680140bf480c7aa4281d.jpg
48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),Robert Greene,200000,122000,8837.0,Sách tư duy - Kỹ năng sống,950,5.0,504.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/bd/94/11/5d5d9dc15149904c407883bdd2571acd.jpg
Bác Sĩ Riêng Của Bé Yêu - Chào Con! Ba Mẹ Đã Sẵn Sàng (Tái Bản),BS. Trần Thị Huyên Thảo,95000,58000,8045.0,Cẩm nang làm cha mẹ,618,5.0,224.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/2e/4f/f4/2ad51eab563daea00733b1bf68600299.png
DƯỠNG TÂM GIÀU CÓ DƯỠNG THÂN NGHÈO KHÓ - NGUYỄN ANH DŨNG, Nguyễn Anh Dũng,98000,98000,50.0,Sách tư duy - Kỹ năng sống,3,5.0,144.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/0d/43/d6/baf2a1480417c424246b38172933895c.jpg
Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,Minh Niệm,158000,118500,36728.0,Sách tư duy - Kỹ năng sống,3709,4.8,480.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/1b/d0/54/d9b746933e8dc26b678f19e2dad6aebe.jpg
Một Đời Như Kẻ Tìm Đường,Phan Văn Trường,175000,111000,8946.0,Sách tư duy - Kỹ năng sống,595,4.8,416.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/19/a9/c1/7dc72ea6f4904caf573c12742a1fd70a.png
Sách Đi Tìm Lẽ Sống (Tái Bản ),Viktor Emil Frankl,88000,66000,23309.0,Sách tư duy - Kỹ năng sống,2481,4.8,224.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/9c/de/95/df9f9fda833fd73c6f5e76bb4e6ead0a.jpg
Ngàn Mặt Trời Rực Rỡ (Tái Bản),Khailed Hosseini,130000,90951,10249.0,Truyện dài,1353,4.8,522.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/cb/5a/92/095ebf3a765f6fa98208c73662c9ad89.jpg
Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),Robert T. Kiyosaki,80000,49000,38328.0,Bài học kinh doanh,3571,4.8,193.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/d3/a9/f8/72540a51f5129c6ab5a678045a4cdbee.png
Yêu Những Điều Không Hoàn Hảo,Hae Min,169000,106000,42174.0,Truyện ngắn - Tản văn - Tạp Văn,4026,5.0,300.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/30/89/5b/17c4fef04c098a3abe8d4eead602a925.png
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,70493,34416.0,Truyện ngắn - Tản văn - Tạp Văn,4831,5.0,358.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/b5/09/52/562bcc1d069a9f1cad18b7cd06b01b17.png
Chăm Sóc Bản Thân Thật Sự,MD,148000,111000,178.0,Lĩnh vực khác,5,4.8,220.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/14/ec/db/66e1116f1120d412fe65b893f0845e10.jpg
Vẻ Đẹp Của Cảnh Sắc Tầm Thường,Đặng Hoàng Giang,235000,164500,881.0,Sách kỹ năng mềm,42,5.0,400.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/83/32/57/1f137a163040b090cd22167e7752a9eb.jpg
"AI 5.0 – Nhanh Hơn, Dễ Hơn, Rẻ Hơn, Chính Xác Hơn",Ajay Agrawal,209000,127490,517.0,Sách tư duy - Kỹ năng sống,6,3.8,432.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/bf/aa/d7/0dca4ce424c320a57aaf2dfdca548c0d.png
Cánh Tư - Fourth Wing,Rebecca Yarros,315000,189000,864.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,111,5.0,824.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/ef/17/fc/7fc6a859793fc25278036d5c28a37356.jpg
AI - Công Cụ Nâng Cao Hiệu Suất Công Việc,Ravin Jesuthasan,169000,103935,435.0,Sách kỹ năng làm việc,9,3.7,296.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/c2/90/3c/cfe85bb999af29eea23236e7444e70e9.jpg
Dám bị ghét,Koga Fumitake,119000,83130,648.0,Sách tư duy - Kỹ năng sống,34,5.0,333.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/55/00/f0/c7f56cd8e154a62ef6d0cc2abbfa4dcb.jpg
Combo Tư Duy Ngược + Tư Duy Mở (Nguyễn Anh Dũng) SBOOKS , Nguyễn Anh Dũng,276000,135000,3142.0,Sách tư duy - Kỹ năng sống,180,4.7,416.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/48/ec/9b/ce19cf30fc3230a301c44e58d4271fa7.jpeg
4 Nguyên Tắc Thực Thi (The 4 Disciplines Of Execution),Sean Covey,205000,135300,654.0,Sách tư duy - Kỹ năng sống,17,5.0,400.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/25/a3/fe/bae7e0699367720d8f9ab6caf0ac8533.jpg
Xứ Sở Miên Man,Jun Phạm (365 Band),220000,158400,1817.0,Văn học thiếu nhi,127,5.0,264.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/96/02/6a/04344f9b9b168e076a84c892377fa88f.jpg
Hai số phận (bìa mềm),Jeffrey Archer,195000,124000,1757.0,Tiểu Thuyết,166,5.0,768.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/35/fd/eb/ac34ff2945104cf66f0fe95da1195dd3.jpg
Ba người thầy vĩ đại (Tái bản),Robin Sharma,115000,80500,3887.0,Sách tư duy - Kỹ năng sống,218,5.0,330.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/a9/ee/54/35217048eefbbe8c77d2fd1bb362662c.jpg
The One Thing - Điều Ý Nghĩa Nhất (Tái Bản 2022),Jay Papasan Gary Keller,119000,76160,2123.0,Sách tư duy - Kỹ năng sống,94,4.8,260.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/b0/5e/fd/66b7550f89e961925cc23c33308f7d15.jpg
Kỷ Luật Bản Thân,Richard Guare,189000,117180,3527.0,Sách tư duy - Kỹ năng sống,219,4.7,396.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/0b/04/bb/1001ffb61c39e0e4f6281732e431735d.png
Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,92160,14178.0,Sách tư duy - Kỹ năng sống,1502,4.8,296.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg
Không Diệt Không Sinh Đừng Sợ Hãi (TB5),Thích Nhất Hạnh,110000,71500,29269.0,Sách tư duy - Kỹ năng sống,1848,5.0,224.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/8f/f4/a6/00094ef268eaae8dc201855eb52f3031.jpg
Tôi Tự Học,Thu Giang Nguyễn Duy Cần,120000,74000,3356.0,Sách tư duy - Kỹ năng sống,256,5.0,392.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/b1/1b/a0/d139eeff67b735e237a5ec5d97c8dfac.jpg
Đừng Bao Giờ Chia Đôi Lợi Ích Trong Mọi Cuộc Đàm Phán,Chris Voss,179000,116350,1559.0,Sách tư duy - Kỹ năng sống,84,5.0,420.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/67/6f/c4/cb127bd7c5fff3dba0efe434be3c2b53.png
Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,220000,147400,11705.0,Sách Học Tiếng Anh,1564,5.0,560.0,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/c2/89/7c/889b792466557288dae9e9019bca09c9.jpg
Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,76000,53183,5835.0,Truyện ngắn - Tản văn - Tạp Văn,590,5.0,235.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5c/a4/7b/4baa2bee290b4da11aaee25dbb26cb12.jpg
Gieo Trồng Hạnh Phúc (Tái Bản),Thich Nhất Hạnh,89000,62300,5650.0,Sách kỹ năng mềm,377,5.0,279.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/09/3d/55/697f7c6618f7e1405e699324dfc9b0a3.jpg
Minh Triết Trong Ăn Uống Của Phương Đông (Tái Bản),Ngô Đức Vượng,168000,126000,3737.0,Sách tư duy - Kỹ năng sống,252,5.0,128.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/6d/34/6b/fffcf975792d6df31bdc5035cdce1da5.png
Trí Tuệ Xúc Cảm,Daniel Goleman,199000,147000,3076.0,Sách tư duy - Kỹ năng sống,337,4.8,468.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/55/05/50/0deffbecf6fa50630bc51a105037617e.jpg
Những Tù Nhân Của Địa Lý,Tim Marshall,210000,143435,23804.0,Lĩnh vực khác,4195,4.8,430.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg
Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,55091,37829.0,Tác phẩm kinh điển,6013,5.0,228.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/94/f3/02/6f7d976eb70207763f546caa740112d6.png
Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,109000,72470,22778.0,Tiểu Thuyết,3461,4.8,428.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/67/58/34/fa755cc08970c5edfab427fdcc1ce626.png
21 Bài Học Cho Thế Kỷ 21,Yuval Noah Harari,209000,139300,20784.0,Tiểu Thuyết,1826,4.6,434.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/3f/85/7f/b55a79c41575bae0448a1fd65d29c515.png
Làm Bạn Với Bầu Trời (Bìa Mềm) (Tặng Kèm Khung Ảnh Số Lượng Có Hạn),Nguyễn Nhật Ánh,110000,71000,28223.0,Truyện dài,2173,5.0,220.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/e4/f1/5c/8fa3187e9923c474f543fd527f26b975.jpg
Feynman Chuyện Thật Như Đùa (Tái Bản),Richard P. Feynman,220000,143000,1196.0,Tiểu sử - Hồi ký,153,4.8,440.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/bd/fd/fb/db632445daf48aeae1b8fae4154d998f.png
Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Ken Mogi,90000,59546,9882.0,Sách tư duy - Kỹ năng sống,761,4.8,199.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/08/0f/70/9ee10ffaf983e21e12bee9bf30b7d56a.jpg
Suối Nguồn (Tái Bản),Ayn Rand,380000,234000,13155.0,Tiểu Thuyết,1461,4.8,1200.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/d9/56/1d/788bdeeee7caa0fd3e07cb2cecf92b15.png
Người Đua Diều (Tái Bản 2018),Khaled Hosseini,129000,89313,22421.0,Tiểu Thuyết,2687,4.8,460.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/fb/68/c2/20665843a151f6b6f4e8e95fa833e506.png
